date,cashflow_category,cashflow_subcategory,cashflow,branch_id
2015-04-01,cash_in,sales,275765.1840753355,001
2015-04-02,cash_in,sales,255256.2723801271,001
2015-04-03,cash_in,sales,316256.1785127557,001
2015-04-04,cash_in,sales,391090.3110233701,001
2015-04-05,cash_in,sales,346951.8606359946,001
2015-04-06,cash_in,sales,361922.2383637755,001
2015-04-07,cash_in,sales,251037.97562787193,001
2015-04-08,cash_in,sales,252207.18476057975,001
2015-04-09,cash_in,sales,254478.29025927585,001
2015-04-10,cash_in,sales,283646.775097888,001
2015-04-10,cash_out,rent & utility,-2400510.447011692,001
2015-04-11,cash_in,sales,378572.4054576462,001
2015-04-12,cash_in,sales,399972.62548448663,001
2015-04-13,cash_in,sales,261000.98758838003,001
2015-04-14,cash_in,sales,277113.3779044639,001
2015-04-15,cash_in,sales,285087.303316294,001
2015-04-15,cash_out,invest,-605200.0,001
2015-04-16,cash_in,sales,254611.57004985155,001
2015-04-17,cash_in,sales,311292.1528856929,001
2015-04-18,cash_in,sales,423988.96719982335,001
2015-04-19,cash_in,sales,395405.0740528494,001
2015-04-20,cash_in,sales,262393.0042751456,001
2015-04-21,cash_in,invest & interest,605352.55,001
2015-04-21,cash_in,sales,265944.20358767145,001
2015-04-22,cash_in,sales,281992.33211237006,001
2015-04-23,cash_in,sales,265489.1294902298,001
2015-04-23,cash_out,invest,-567600.0,001
2015-04-24,cash_in,sales,320569.71006919025,001
2015-04-24,cash_out,labor,-2904212.7311940626,001
2015-04-25,cash_in,sales,469219.9395796632,001
2015-04-26,cash_in,sales,481402.56438212586,001
2015-04-27,cash_in,sales,295046.0298404244,001
2015-04-28,cash_in,sales,314408.0596974399,001
2015-04-29,cash_in,sales,346461.7843367473,001
2015-04-30,cash_in,sales,402144.7282633802,001
2015-05-01,cash_in,sales,508384.46575526585,001
2015-05-02,cash_in,sales,452450.8303037819,001
2015-05-03,cash_in,sales,430724.72003958025,001
2015-05-04,cash_in,sales,266858.29771242477,001
2015-05-05,cash_in,sales,250022.93119486957,001
2015-05-06,cash_in,sales,266213.24591530714,001
2015-05-07,cash_in,invest & interest,567940.27,001
2015-05-07,cash_in,sales,266957.72008566605,001
2015-05-08,cash_in,sales,293451.3679195085,001
2015-05-08,cash_out,invest,-1606300.0,001
2015-05-09,cash_in,sales,408331.63775777986,001
2015-05-10,cash_in,sales,431069.8238610842,001
2015-05-10,cash_out,rent & utility,-2468449.5867890236,001
2015-05-11,cash_in,sales,254514.15488552567,001
2015-05-12,cash_in,sales,253553.15730166683,001
2015-05-13,cash_in,sales,269368.1270764293,001
2015-05-14,cash_in,sales,266329.7362781232,001
2015-05-15,cash_in,invest & interest,1606782.81,001
2015-05-15,cash_in,sales,317832.3143517447,001
2015-05-15,cash_out,invest,-1655900.0,001
2015-05-16,cash_in,sales,422797.92926119885,001
2015-05-17,cash_in,sales,411852.2301497491,001
2015-05-18,cash_in,sales,242712.5945652778,001
2015-05-19,cash_in,sales,267465.99856378144,001
2015-05-20,cash_in,invest & interest,1656248.26,001
2015-05-20,cash_in,sales,321714.20636834943,001
2015-05-21,cash_in,sales,309789.1806257127,001
2015-05-22,cash_in,sales,333066.64950243157,001
2015-05-22,cash_out,invest,-484300.0,001
2015-05-23,cash_in,invest & interest,484320.68,001
2015-05-23,cash_in,sales,466399.1929499554,001
2015-05-24,cash_in,sales,473167.45464573434,001
2015-05-25,cash_in,sales,281516.6431991259,001
2015-05-25,cash_out,labor,-3184315.8336291993,001
2015-05-26,cash_in,sales,278197.2928271161,001
2015-05-27,cash_in,sales,312021.026397032,001
2015-05-28,cash_in,sales,302963.87201698794,001
2015-05-29,cash_in,sales,339599.50544994615,001
2015-05-30,cash_in,sales,475115.42715302657,001
2015-05-31,cash_in,sales,467275.8960616818,001
2015-06-01,cash_in,sales,505736.70127989387,001
2015-06-02,cash_in,sales,280353.3780687693,001
2015-06-02,cash_out,invest,-797300.0,001
2015-06-03,cash_in,sales,329469.1534738748,001
2015-06-04,cash_in,sales,336165.5049537973,001
2015-06-05,cash_in,sales,329531.8147940393,001
2015-06-06,cash_in,sales,420069.31001931307,001
2015-06-07,cash_in,sales,411985.7025885713,001
2015-06-08,cash_in,sales,344826.69608727633,001
2015-06-08,cash_out,invest,-3583500.0,001
2015-06-09,cash_in,sales,361195.3143960171,001
2015-06-09,cash_out,invest,-2194800.0,001
2015-06-10,cash_in,sales,356805.1281928556,001
2015-06-10,cash_out,rent & utility,-2574132.0783876567,001
2015-06-11,cash_in,sales,339254.98097522056,001
2015-06-12,cash_in,sales,371749.2973105001,001
2015-06-13,cash_in,sales,530800.9126557475,001
2015-06-14,cash_in,sales,544956.3632692047,001
2015-06-15,cash_in,invest & interest,797746.13,001
2015-06-15,cash_in,sales,395500.99058293836,001
2015-06-16,cash_in,sales,397099.31867070624,001
2015-06-17,cash_in,sales,374325.61690013355,001
2015-06-17,cash_out,invest,-3944800.0,001
2015-06-18,cash_in,invest & interest,5780568.29,001
2015-06-18,cash_in,sales,375673.67361288343,001
2015-06-19,cash_in,sales,465179.5140258651,001
2015-06-20,cash_in,sales,556571.0692064106,001
2015-06-21,cash_in,invest & interest,3945471.39,001
2015-06-21,cash_in,sales,525078.7709083712,001
2015-06-22,cash_in,sales,505173.32081658085,001
2015-06-23,cash_in,sales,384399.6938519542,001
2015-06-24,cash_in,sales,401306.75381567446,001
2015-06-25,cash_in,sales,382542.7266217974,001
